"CAINC30 Economic Profile"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2017"
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","110","  Per capita personal income 4/",51729
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)","240","Total employment (number of jobs)",1372384
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","","Place of residence profile",""
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",11790763
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","100","  Population (persons) 3/",299059
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",39426
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",154838
"17420","Cleveland, TN (Metropolitan Statistical Area)","","Place of residence profile",""
"17420","Cleveland, TN (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4524685
"17420","Cleveland, TN (Metropolitan Statistical Area)","100","  Population (persons) 3/",122082
"17420","Cleveland, TN (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17420","Cleveland, TN (Metropolitan Statistical Area)","110","  Per capita personal income 4/",37063
"17420","Cleveland, TN (Metropolitan Statistical Area)","240","Total employment (number of jobs)",62495
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","","Place of residence profile",""
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",105828387
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","100","  Population (persons) 3/",2058549
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","110","  Per capita personal income 4/",51409
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)","240","Total employment (number of jobs)",1332930
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","","Place of residence profile",""
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6792188
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","100","  Population (persons) 3/",157485
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43129
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)","240","Total employment (number of jobs)",88196
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",9723678
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",258825
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",37569
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",152965
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","","Place of residence profile",""
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",33883990
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","100","  Population (persons) 3/",725438
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","110","  Per capita personal income 4/",46708
"17820","Colorado Springs, CO (Metropolitan Statistical Area)","240","Total employment (number of jobs)",426550
"17860","Columbia, MO (Metropolitan Statistical Area)","","Place of residence profile",""
"17860","Columbia, MO (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",9265632
"17860","Columbia, MO (Metropolitan Statistical Area)","100","  Population (persons) 3/",206288
"17860","Columbia, MO (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17860","Columbia, MO (Metropolitan Statistical Area)","110","  Per capita personal income 4/",44916
"17860","Columbia, MO (Metropolitan Statistical Area)","240","Total employment (number of jobs)",142143
"17900","Columbia, SC (Metropolitan Statistical Area)","","Place of residence profile",""
"17900","Columbia, SC (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",36098903
"17900","Columbia, SC (Metropolitan Statistical Area)","100","  Population (persons) 3/",825110
"17900","Columbia, SC (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17900","Columbia, SC (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43750
"17900","Columbia, SC (Metropolitan Statistical Area)","240","Total employment (number of jobs)",505636
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","","Place of residence profile",""
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",12447463
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",315872
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",39407
"17980","Columbus, GA-AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",179873
"18020","Columbus, IN (Metropolitan Statistical Area)","","Place of residence profile",""
"18020","Columbus, IN (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",3955556
"18020","Columbus, IN (Metropolitan Statistical Area)","100","  Population (persons) 3/",82429
"18020","Columbus, IN (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"18020","Columbus, IN (Metropolitan Statistical Area)","110","  Per capita personal income 4/",47987
"18020","Columbus, IN (Metropolitan Statistical Area)","240","Total employment (number of jobs)",61301
"18140","Columbus, OH (Metropolitan Statistical Area)","","Place of residence profile",""
"18140","Columbus, OH (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",102744546
"18140","Columbus, OH (Metropolitan Statistical Area)","100","  Population (persons) 3/",2082475
"18140","Columbus, OH (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"18140","Columbus, OH (Metropolitan Statistical Area)","110","  Per capita personal income 4/",49338
"18140","Columbus, OH (Metropolitan Statistical Area)","240","Total employment (number of jobs)",1375704
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",18152655
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",428237
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",42389
"18580","Corpus Christi, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",251653
"18700","Corvallis, OR (Metropolitan Statistical Area)","","Place of residence profile",""
"18700","Corvallis, OR (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4076498
"18700","Corvallis, OR (Metropolitan Statistical Area)","100","  Population (persons) 3/",91567
"18700","Corvallis, OR (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"18700","Corvallis, OR (Metropolitan Statistical Area)","110","  Per capita personal income 4/",44519
"18700","Corvallis, OR (Metropolitan Statistical Area)","240","Total employment (number of jobs)",51317
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","","Place of residence profile",""
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",13543565
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","100","  Population (persons) 3/",271959
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",49800
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",173797
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","","Place of residence profile",""
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",3779218
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","100","  Population (persons) 3/",98566
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","110","  Per capita personal income 4/",38342
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)","240","Total employment (number of jobs)",47392
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",391942594
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",7340943
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",53391
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",4948247
"19140","Dalton, GA (Metropolitan Statistical Area)","","Place of residence profile",""
"19140","Dalton, GA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5033165
"19140","Dalton, GA (Metropolitan Statistical Area)","100","  Population (persons) 3/",143872
"19140","Dalton, GA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19140","Dalton, GA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",34984
"19140","Dalton, GA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",80027
"19180","Danville, IL (Metropolitan Statistical Area)","","Place of residence profile",""
"19180","Danville, IL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",2913571
"19180","Danville, IL (Metropolitan Statistical Area)","100","  Population (persons) 3/",77776
"19180","Danville, IL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19180","Danville, IL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",37461
"19180","Danville, IL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",36016
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","","Place of residence profile",""
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",9352917
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",212619
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43989
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",111990
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","","Place of residence profile",""
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",18059747
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","100","  Population (persons) 3/",381854
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",47295
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",230323
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)","","Place of residence profile",""
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",36770689
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)","100","  Population (persons) 3/",803713
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)","110","  Per capita personal income 4/",45751
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)","240","Total employment (number of jobs)",482446
"19460","Decatur, AL (Metropolitan Statistical Area)","","Place of residence profile",""
"19460","Decatur, AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5627400
"19460","Decatur, AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",151888
"19460","Decatur, AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19460","Decatur, AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",37050
"19460","Decatur, AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",74111
"19500","Decatur, IL (Metropolitan Statistical Area)","","Place of residence profile",""
"19500","Decatur, IL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4793880
"19500","Decatur, IL (Metropolitan Statistical Area)","100","  Population (persons) 3/",105533
"19500","Decatur, IL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19500","Decatur, IL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",45425
"19500","Decatur, IL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",62255
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","","Place of residence profile",""
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",26679424
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","100","  Population (persons) 3/",648117
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",41165
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",287897
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *","","Place of residence profile",""
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *","10","Personal income (thousands of dollars)",175325511
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *","100","  Population (persons) 3/",2892979
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *","","Per capita incomes (dollars)",""
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *","110","  Per capita personal income 4/",60604
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *","240","Total employment (number of jobs)",2036345
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","","Place of residence profile",""
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",35319931
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","100","  Population (persons) 3/",682085
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",51782
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",478216
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","","Place of residence profile",""
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",219365974
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","100","  Population (persons) 3/",4321704
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",50759
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",2587204
"20020","Dothan, AL (Metropolitan Statistical Area)","","Place of residence profile",""
"20020","Dothan, AL (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5797729
"20020","Dothan, AL (Metropolitan Statistical Area)","100","  Population (persons) 3/",147923
"20020","Dothan, AL (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20020","Dothan, AL (Metropolitan Statistical Area)","110","  Per capita personal income 4/",39194
"20020","Dothan, AL (Metropolitan Statistical Area)","240","Total employment (number of jobs)",78563
"20100","Dover, DE (Metropolitan Statistical Area)","","Place of residence profile",""
"20100","Dover, DE (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",7135135
"20100","Dover, DE (Metropolitan Statistical Area)","100","  Population (persons) 3/",176445
"20100","Dover, DE (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20100","Dover, DE (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40438
"20100","Dover, DE (Metropolitan Statistical Area)","240","Total employment (number of jobs)",92106
"20220","Dubuque, IA (Metropolitan Statistical Area)","","Place of residence profile",""
"20220","Dubuque, IA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4485869
"20220","Dubuque, IA (Metropolitan Statistical Area)","100","  Population (persons) 3/",97009
"20220","Dubuque, IA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20220","Dubuque, IA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",46242
"20220","Dubuque, IA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",73007
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","","Place of residence profile",""
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",12676101
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","100","  Population (persons) 3/",289175
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43835
"20260","Duluth, MN-WI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",170506
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","","Place of residence profile",""
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",32018021
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","100","  Population (persons) 3/",625865
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","110","  Per capita personal income 4/",51158
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)","240","Total employment (number of jobs)",434703
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","","Place of residence profile",""
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6789664
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","100","  Population (persons) 3/",168089
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40393
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",77958
"20740","Eau Claire, WI (Metropolitan Statistical Area)","","Place of residence profile",""
"20740","Eau Claire, WI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",7566094
"20740","Eau Claire, WI (Metropolitan Statistical Area)","100","  Population (persons) 3/",167436
"20740","Eau Claire, WI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20740","Eau Claire, WI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",45188
"20740","Eau Claire, WI (Metropolitan Statistical Area)","240","Total employment (number of jobs)",110621
"20940","El Centro, CA (Metropolitan Statistical Area)","","Place of residence profile",""
"20940","El Centro, CA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6634190
"20940","El Centro, CA (Metropolitan Statistical Area)","100","  Population (persons) 3/",181574
"20940","El Centro, CA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"20940","El Centro, CA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",36537
"20940","El Centro, CA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",80123
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","","Place of residence profile",""
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6160042
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","100","  Population (persons) 3/",150531
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40922
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",77349
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","","Place of residence profile",""
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",9286181
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","100","  Population (persons) 3/",204310
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","110","  Per capita personal income 4/",45451
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)","240","Total employment (number of jobs)",164569
"21300","Elmira, NY (Metropolitan Statistical Area)","","Place of residence profile",""
"21300","Elmira, NY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",3627943
"21300","Elmira, NY (Metropolitan Statistical Area)","100","  Population (persons) 3/",84874
"21300","Elmira, NY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21300","Elmira, NY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",42745
"21300","Elmira, NY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",43606
"21340","El Paso, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"21340","El Paso, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",28927444
"21340","El Paso, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",845145
"21340","El Paso, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21340","El Paso, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",34228
"21340","El Paso, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",439417
"21420","Enid, OK (Metropolitan Statistical Area)","","Place of residence profile",""
"21420","Enid, OK (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",2612964
"21420","Enid, OK (Metropolitan Statistical Area)","100","  Population (persons) 3/",61492
"21420","Enid, OK (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21420","Enid, OK (Metropolitan Statistical Area)","110","  Per capita personal income 4/",42493
"21420","Enid, OK (Metropolitan Statistical Area)","240","Total employment (number of jobs)",37566
"21500","Erie, PA (Metropolitan Statistical Area)","","Place of residence profile",""
"21500","Erie, PA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",11587938
"21500","Erie, PA (Metropolitan Statistical Area)","100","  Population (persons) 3/",273892
"21500","Erie, PA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21500","Erie, PA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",42308
"21500","Erie, PA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",157998
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)","","Place of residence profile",""
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",16512047
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)","100","  Population (persons) 3/",375617
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)","110","  Per capita personal income 4/",43960
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)","240","Total employment (number of jobs)",208647
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","","Place of residence profile",""
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",14310394
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","100","  Population (persons) 3/",314960
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",45436
"21780","Evansville, IN-KY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",193728
"21820","Fairbanks, AK (Metropolitan Statistical Area) *","","Place of residence profile",""
"21820","Fairbanks, AK (Metropolitan Statistical Area) *","10","Personal income (thousands of dollars)",5382588
"21820","Fairbanks, AK (Metropolitan Statistical Area) *","100","  Population (persons) 3/",99725
"21820","Fairbanks, AK (Metropolitan Statistical Area) *","","Per capita incomes (dollars)",""
"21820","Fairbanks, AK (Metropolitan Statistical Area) *","110","  Per capita personal income 4/",53974
"21820","Fairbanks, AK (Metropolitan Statistical Area) *","240","Total employment (number of jobs)",58949
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","","Place of residence profile",""
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",12235224
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","100","  Population (persons) 3/",241619
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","110","  Per capita personal income 4/",50639
"22020","Fargo, ND-MN (Metropolitan Statistical Area)","240","Total employment (number of jobs)",178477
"22140","Farmington, NM (Metropolitan Statistical Area)","","Place of residence profile",""
"22140","Farmington, NM (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",4265534
"22140","Farmington, NM (Metropolitan Statistical Area)","100","  Population (persons) 3/",126902
"22140","Farmington, NM (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"22140","Farmington, NM (Metropolitan Statistical Area)","110","  Per capita personal income 4/",33613
"22140","Farmington, NM (Metropolitan Statistical Area)","240","Total employment (number of jobs)",62225
"22180","Fayetteville, NC (Metropolitan Statistical Area)","","Place of residence profile",""
"22180","Fayetteville, NC (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",18243302
"22180","Fayetteville, NC (Metropolitan Statistical Area)","100","  Population (persons) 3/",517609
"22180","Fayetteville, NC (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"22180","Fayetteville, NC (Metropolitan Statistical Area)","110","  Per capita personal income 4/",35245
"22180","Fayetteville, NC (Metropolitan Statistical Area)","240","Total employment (number of jobs)",255597
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)","","Place of residence profile",""
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",32295738
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)","100","  Population (persons) 3/",515633
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)","110","  Per capita personal income 4/",62633
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)","240","Total employment (number of jobs)",314551
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","","Place of residence profile",""
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6584279
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","100","  Population (persons) 3/",141107
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","110","  Per capita personal income 4/",46662
"22380","Flagstaff, AZ (Metropolitan Statistical Area)","240","Total employment (number of jobs)",86713
"22420","Flint, MI (Metropolitan Statistical Area)","","Place of residence profile",""
"22420","Flint, MI (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",16054031
"22420","Flint, MI (Metropolitan Statistical Area)","100","  Population (persons) 3/",407673
"22420","Flint, MI (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"22420","Flint, MI (Metropolitan Statistical Area)","110","  Per capita personal income 4/",39380
